Date,Open,High,Low,Close,Adj Close,Volume
2015-12-23,163.029999,163.500000,161.649994,162.720001,140.443909,2202100
2015-12-24,163.699997,164.360001,162.220001,163.550003,141.160309,943000
2015-12-28,162.910004,163.130005,160.600006,161.729996,139.589447,1513000
2015-12-29,162.919998,164.960007,162.050003,164.440002,141.928467,2171100
2015-12-30,164.630005,164.750000,162.910004,163.289993,140.935898,1493000
2015-12-31,162.149994,164.110001,162.050003,162.330002,140.107285,1775900
2016-01-04,159.000000,159.220001,156.089996,158.339996,136.663544,5083200
2016-01-05,159.000000,160.210007,157.250000,158.169998,136.516800,2678900
2016-01-06,155.009995,157.929993,154.899994,156.720001,135.265350,3826900
2016-01-07,153.059998,156.449997,152.889999,152.979996,132.037277,4162500
2016-01-08,153.119995,154.860001,150.460007,150.710007,130.078094,4179600
2016-01-11,151.330002,151.589996,144.169998,147.690002,127.471497,4747400
2016-01-12,148.429993,151.240005,146.919998,150.789993,130.147125,4410600
2016-01-13,151.139999,152.830002,145.279999,145.460007,125.546791,3982100
2016-01-14,146.020004,155.300003,144.570007,153.160004,132.192688,5649000
2016-01-15,147.690002,152.300003,147.690002,151.300003,130.587280,6213000
2016-01-19,153.449997,154.619995,148.229996,151.300003,130.587280,4382200
2016-01-20,149.000000,156.839996,148.050003,155.020004,133.798019,7338600
2016-01-21,154.750000,155.020004,150.240005,152.779999,131.864700,4674000
2016-01-22,156.449997,156.960007,154.240005,156.080002,134.712936,4577300
2016-01-25,156.179993,158.000000,153.000000,153.429993,132.425705,4765100
2016-01-26,152.779999,155.229996,151.089996,153.779999,132.727798,3645500
2016-01-27,154.889999,154.889999,148.869995,150.470001,129.870926,3752300
2016-01-28,151.100006,151.710007,145.419998,148.350006,128.041107,4246500
2016-01-29,149.399994,153.000000,145.250000,152.729996,131.821503,7174400
2016-02-01,151.309998,153.720001,149.339996,152.750000,131.838791,4602200
2016-02-02,150.479996,151.490005,148.479996,150.110001,129.560242,3881400
2016-02-03,150.500000,151.179993,147.070007,150.690002,130.060791,4530600
2016-02-04,150.500000,151.960007,148.800003,149.910004,129.387589,3685200
2016-02-05,148.929993,149.389999,143.690002,145.039993,125.184288,6451900
2016-02-08,143.500000,144.570007,140.160004,143.000000,123.423553,4627300
2016-02-09,141.020004,145.630005,140.820007,143.160004,123.561638,4211100
2016-02-10,145.210007,147.130005,143.960007,144.809998,124.985779,4273500
2016-02-11,140.759995,143.490005,140.039993,141.460007,122.943382,4374400
2016-02-12,143.130005,144.970001,141.139999,144.720001,125.776665,3218000
2016-02-16,146.889999,148.059998,145.679993,147.149994,127.888557,3371300
2016-02-17,148.300003,151.520004,147.399994,151.070007,131.295471,3811100
2016-02-18,150.789993,152.360001,149.080002,149.300003,129.757141,2892100
2016-02-19,148.979996,151.759995,148.259995,150.119995,130.469818,2796800
2016-02-22,148.720001,149.770004,146.940002,148.559998,129.114014,4603300
2016-02-23,148.149994,149.720001,146.860001,147.259995,127.984146,3315200
2016-02-24,145.500000,147.270004,143.910004,147.110001,127.853828,3316100
2016-02-25,147.360001,148.389999,145.259995,146.750000,127.540916,3446800
2016-02-26,148.509995,149.500000,146.949997,147.600006,128.279678,3411500
2016-02-29,146.960007,147.669998,142.220001,142.279999,123.656044,5193800
2016-03-01,144.300003,148.449997,142.279999,148.389999,128.966293,4477700
2016-03-02,148.000000,148.630005,146.210007,147.490005,128.184052,3689900
2016-03-03,147.220001,147.289993,145.320007,145.839996,126.750076,2988900
2016-03-04,147.029999,147.300003,144.539993,145.979996,126.871712,3471400
2016-03-07,144.979996,147.869995,144.759995,147.309998,128.027634,3278800
2016-03-08,146.889999,147.000000,144.320007,144.630005,125.698448,3064100
2016-03-09,144.000000,144.080002,139.910004,140.899994,122.456673,6075400
2016-03-10,142.059998,143.479996,139.020004,141.029999,122.569633,4572900
2016-03-11,142.949997,144.990005,142.169998,144.570007,125.646309,4861700
2016-03-14,143.860001,145.309998,143.190002,144.619995,125.689758,3013800
2016-03-15,144.839996,145.300003,142.800003,143.210007,124.464310,3034200
2016-03-16,143.000000,147.000000,141.929993,143.979996,125.133522,6104700
2016-03-17,143.720001,145.800003,141.839996,144.130005,125.263863,4899700
2016-03-18,144.970001,146.399994,142.509995,145.509995,126.463264,6802600
2016-03-21,145.300003,147.949997,145.020004,147.009995,127.766869,3176800
2016-03-22,147.050003,150.990005,146.830002,150.619995,130.904343,4213900
2016-03-23,150.309998,151.910004,148.139999,148.759995,129.287842,3107600
2016-03-24,148.759995,150.949997,147.600006,149.240005,129.705048,3025800
2016-03-28,149.320007,150.360001,147.320007,148.369995,128.948868,2111000
2016-03-29,148.460007,149.690002,146.800003,149.490005,129.922287,2735700
